TitleID,ItemID,PageID,HasImage,ZooID
12272,45236,12536772,NO,ASC0000xyz
12272,45236,12536773,NO,ASC0000y0q
12272,45236,12536774,NO,ASC0000xx9
12272,45236,12536775,NO,ASC0000y3o
12272,45236,12536776,NO,ASC0000xsw
12272,45236,12536777,NO,ASC0000xvr
12272,45236,12536778,NO,ASC0000y24
12272,45236,12536779,NO,ASC0000xsf
12272,45236,12536780,NO,ASC0000xun
12272,45236,12536781,NO,ASC0000xyp
12272,45236,12536782,NO,ASC0000y48
12272,45236,12536783,NO,ASC0000xrr
12272,45236,12536784,NO,ASC0000xru
12272,45236,12536785,NO,ASC0000xy1
12272,45236,12536786,NO,ASC0000xqg
12272,45236,12536787,NO,ASC0000xxk
12272,45236,12536788,NO,ASC0000xzs
12272,45236,12536789,NO,ASC0000y2l
12272,45236,12536790,NO,ASC0000y1c
12272,45236,12536791,NO,ASC0000xub
12272,45236,12536792,NO,ASC0000xkx
12272,45236,12536793,NO,ASC0000xzq
12272,45236,12536794,NO,ASC0000y2v
12272,45236,12536795,NO,ASC0000y05
12272,45236,12536796,YES,ASC0000xxo
12272,45236,12536797,YES,ASC0000xw3
12272,45236,12536798,NO,ASC0000xsh
12272,45236,12536799,NO,ASC0000y1d
12272,45236,12536800,YES,ASC0000y0e
12272,45236,12536801,YES,ASC0000y1z
12272,45236,12536802,NO,ASC0000y0c
12272,45236,12536803,NO,ASC0000y28
12272,45236,12536804,YES,ASC0000xwy
12272,45236,12536805,NO,ASC0000y0j
12272,45236,12536806,YES,ASC0000y0n
12272,45236,12536807,YES,ASC0000xv5
12272,45236,12536808,NO,ASC0000xtz
12272,45236,12536809,NO,ASC0000xyv
12272,45236,12536810,YES,ASC0000xry
12272,45236,12536811,YES,ASC0000xul
12272,45236,12536812,YES,ASC0000y23
12272,45236,12536813,YES,ASC0000xya
12272,45236,12536814,NO,ASC0000xth
12272,45236,12536815,YES,ASC0000xp4
12272,45236,12536816,NO,ASC0000y16
12272,45236,12536817,YES,ASC0000xzv
12272,45236,12536818,YES,ASC0000y6l
12272,45236,12536819,YES,ASC0000xzg
12272,45236,12536820,YES,ASC0000xur
12272,45236,12536821,YES,ASC0000xym
12272,45236,12536822,NO,ASC0000xxj
12272,45236,12536823,NO,ASC0000xwu
12272,45236,12536824,NO,ASC0000xuu
12272,45236,12536825,NO,ASC0000xt2
12272,45236,12536826,YES,ASC0000xy2
12272,45236,12536827,NO,ASC0000xxq
12272,45236,12536828,YES,ASC0000xus
12272,45236,12536829,YES,ASC0000xxz
12272,45236,12536830,NO,ASC0000xrv
12272,45236,12536831,NO,ASC0000xuc
12272,45236,12536832,YES,ASC0000y44
12272,45236,12536833,YES,ASC0000xpd
12272,45236,12536834,NO,ASC0000y56
12272,45236,12536835,NO,ASC0000xoi
12272,45236,12536836,NO,ASC0000y22
12272,45236,12536837,NO,ASC0000xuf
12272,45236,12536838,NO,ASC0000y03
12272,45236,12536839,NO,ASC0000xy5
12272,45236,12536840,NO,ASC0000xx6
12272,45236,12536841,NO,ASC0000xr0
12272,45236,12536842,NO,ASC0000xtc
12272,45236,12536843,NO,ASC0000y3m
12272,45236,12536844,NO,ASC0000xvy
12272,45236,12536845,NO,ASC0000xr6
12272,45236,12536846,YES,ASC0000y07
12272,45236,12536847,YES,ASC0000y14
12272,45236,12536848,YES,ASC0000y0l
12272,45236,12536849,NO,ASC0000xsb
12272,45236,12536850,YES,ASC0000xyb
12272,45236,12536851,NO,ASC0000xwv
12272,45236,12536852,NO,ASC0000y1f
12272,45236,12536853,NO,ASC0000y1v
12272,45236,12536854,NO,ASC0000xte
12272,45236,12536855,NO,ASC0000y4e
12272,45236,12536856,NO,ASC000148k
12272,45236,12536857,NO,ASC0000y2e
12272,45236,12536858,NO,ASC0000xyx
12272,45236,12536859,NO,ASC0000xzn
12272,45236,12536860,NO,ASC0000xvg
12272,45236,12536861,NO,ASC0000xyf
12272,45236,12536862,NO,ASC0000xz7
12272,45236,12536863,NO,ASC0000xy4
12272,45236,12536864,NO,ASC0000y12
12272,45236,12536865,NO,ASC0000xr7
12272,45236,12536866,NO,ASC0000xpc
12272,45236,12536867,NO,ASC0000xwf
12272,45236,12536868,NO,ASC0000y06
12272,45236,12536869,NO,ASC0000xx0
12272,45236,12536870,NO,ASC0000xyc
12272,45236,12536871,NO,ASC0000xvw
12272,45236,12536872,NO,ASC0000xih
12272,45236,12536873,NO,ASC00013om
12272,45236,12536874,NO,ASC000140n
12272,45236,12536875,NO,ASC000141f
12272,45236,12536876,NO,ASC000149d
12272,45236,12536877,NO,ASC00013yz
12272,45236,12536878,NO,ASC00013n9
12272,45236,12536879,NO,ASC000142b
12272,45236,12536880,NO,ASC00014fc
12272,45236,12536881,NO,ASC00013vj
12272,45236,12536882,NO,ASC0000xu6
12272,45236,12536883,NO,ASC0000xz4
12272,45236,12536884,NO,ASC0000xrh
12272,45236,12536885,NO,ASC0000xuj
12272,45236,12536886,YES,ASC0000xmu
12272,45236,12536887,NO,ASC0000y40
12272,45236,12536888,NO,ASC0000y0o
12272,45236,12536889,NO,ASC0000y10
12272,45236,12536890,NO,ASC0000xsm
12272,45236,12536891,NO,ASC0000xyw
12272,45236,12536892,NO,ASC0000y1s
12272,45236,12536893,NO,ASC0000xw9
12272,45236,12536894,NO,ASC0000y11
12272,45236,12536895,NO,ASC0000xok
12272,45236,12536896,NO,ASC0000xq4
12272,45236,12536897,NO,ASC0000xuv
12272,45236,12536898,NO,ASC0000xzl
12272,45236,12536899,NO,ASC0000y1l
12272,45236,12536900,NO,ASC0000y1k
12272,45236,12536901,NO,ASC0000xvl
12272,45236,12536902,NO,ASC0000xwp
12272,45236,12536903,NO,ASC0000xig
12272,45236,12536904,NO,ASC0000xlj
